period,date,method,turnover,candidate_count,w_Cnsmr,w_Manuf,w_HiTec,w_Hlth,w_Other
confirmation,2019-01-02,random,0.0,64,0.02872880980314405,0.03914865197188641,0.04045928757797713,0.8366925988229384,0.054970651824054015
confirmation,2019-01-02,min_variance,0.05538432819307657,1,0.45925952539464976,0.5407404746053501,0.0,9.205027936827974e-17,2.836882400719235e-16
confirmation,2019-01-02,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-02-01,localized,0.032773989374453395,64,0.03667196463316713,0.03277412338423847,0.9299852695856197,3.2987471470804185e-06,0.0005653436498276945
confirmation,2019-02-01,all_gene,0.17424243917144613,64,0.31706965019162975,0.048367502573294856,0.0005208333135668062,0.6293997496706231,0.00464226425088549
confirmation,2019-02-01,random,0.0,64,0.02872880980314405,0.03914865197188641,0.04045928757797713,0.8366925988229384,0.054970651824054015
confirmation,2019-02-01,min_variance,0.014542040970303758,1,0.4738015663649536,0.5261984336350468,5.584970402283022e-18,0.0,0.0
confirmation,2019-02-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-03-01,localized,0.00682136956075774,64,0.03667196463316713,0.03959549294499621,0.9231639000248619,3.2987471470804185e-06,0.0005653436498276945
confirmation,2019-03-01,all_gene,0.19118475828832074,64,0.15028553545159404,0.025075333987083063,0.0003558383396316658,0.8205845079589438,0.0036987842627473986
confirmation,2019-03-01,random,0.0,64,0.02872880980314405,0.03914865197188641,0.04045928757797713,0.8366925988229384,0.054970651824054015
confirmation,2019-03-01,min_variance,0.029645158951937593,1,0.44415640741301604,0.5558435925869842,2.3402810461601868e-16,0.0,0.0
confirmation,2019-03-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
confirmation,2019-04-01,localized,0.03951886546195921,64,0.07619083009512634,7.662748303700201e-05,0.9231639000248619,3.2987471470804185e-06,0.0005653436498276945
confirmation,2019-04-01,all_gene,0.10630825076132687,64,0.06070292227433594,0.010087962963742885,0.00029012032993845085,0.9268927587202707,0.0020262357117120477
confirmation,2019-04-01,random,0.0,64,0.02872880980314405,0.03914865197188641,0.04045928757797713,0.8366925988229384,0.054970651824054015
confirmation,2019-04-01,min_variance,0.09403024575646338,1,0.3834228449071151,0.5225469093364217,7.632783294297951e-17,0.02816847210267571,0.06586177365378737
confirmation,2019-04-01,equal_weight,0.0,1,0.2,0.2,0.2,0.2,0.2
