period,date,method,net_return
confirmation,2015-03-18,localized,0.008269523241218617
confirmation,2015-03-19,localized,-0.0005388086316853296
confirmation,2015-03-20,localized,0.008085980716108564
confirmation,2015-03-23,localized,-0.00034640059820583623
confirmation,2015-03-24,localized,-0.0037547892869543333
confirmation,2015-03-25,localized,-0.015259857444797405
confirmation,2015-03-26,localized,-0.003437045324928353
confirmation,2015-03-27,localized,0.005904908981431947
confirmation,2015-03-30,localized,0.010906212388183572
confirmation,2015-03-31,localized,-0.00788863365956649
confirmation,2015-03-02,all_gene,0.00750147789183181
confirmation,2015-03-03,all_gene,-0.006678623042578338
confirmation,2015-03-04,all_gene,0.002132877729492558
confirmation,2015-03-05,all_gene,0.004526752194380121
confirmation,2015-03-06,all_gene,-0.016170068345904322
confirmation,2015-03-09,all_gene,0.003653122668644511
confirmation,2015-03-10,all_gene,-0.01054067409537989
confirmation,2015-03-11,all_gene,-0.0005423682102967338
confirmation,2015-03-12,all_gene,0.012094386894040854
confirmation,2015-03-13,all_gene,-0.002885583268866871
confirmation,2015-03-16,all_gene,0.01706234732876491
confirmation,2015-03-17,all_gene,-0.002314500211171439
confirmation,2015-03-18,all_gene,0.009860953037192368
confirmation,2015-03-19,all_gene,0.004848019955876256
confirmation,2015-03-20,all_gene,0.006274487748122381
confirmation,2015-03-23,all_gene,-0.0030002975406201436
confirmation,2015-03-24,all_gene,-0.006378067570865163
confirmation,2015-03-25,all_gene,-0.019394059428812407
confirmation,2015-03-26,all_gene,-0.0028301313503544074
confirmation,2015-03-27,all_gene,0.007598680273475669
confirmation,2015-03-30,all_gene,0.010571204838788005
confirmation,2015-03-31,all_gene,-0.0119816292198263
confirmation,2015-03-02,random,0.008185060133819339
confirmation,2015-03-03,random,-0.007389747261457198
confirmation,2015-03-04,random,0.004323321884582
confirmation,2015-03-05,random,0.005288063568643425
confirmation,2015-03-06,random,-0.016391556655303882
confirmation,2015-03-09,random,0.003491452392940285
confirmation,2015-03-10,random,-0.009618790231729533
confirmation,2015-03-11,random,0.00016378938334985255
confirmation,2015-03-12,random,0.011560653045787048
confirmation,2015-03-13,random,-0.001964636007373382
confirmation,2015-03-16,random,0.018582300367085917
confirmation,2015-03-17,random,-0.0019205743165338974
confirmation,2015-03-18,random,0.010051327004695193
confirmation,2015-03-19,random,0.007377359432279681
confirmation,2015-03-20,random,0.005363836644538375
confirmation,2015-03-23,random,-0.0039225475323069504
confirmation,2015-03-24,random,-0.0073317963907503225
confirmation,2015-03-25,random,-0.021900860623051865
confirmation,2015-03-26,random,-0.0025130961880026133
confirmation,2015-03-27,random,0.008352225911921548
confirmation,2015-03-30,random,0.010211806491423843
confirmation,2015-03-31,random,-0.013594748979388203
confirmation,2015-03-02,min_variance,0.004969314684419076
confirmation,2015-03-03,min_variance,-0.00423020964236725
confirmation,2015-03-04,min_variance,-0.006283090845025809
confirmation,2015-03-05,min_variance,0.002194237594682883
confirmation,2015-03-06,min_variance,-0.015297846262264018
confirmation,2015-03-09,min_variance,0.004649272535077425
confirmation,2015-03-10,min_variance,-0.01349892313113201
confirmation,2015-03-11,min_variance,-0.0033852445827617914
confirmation,2015-03-12,min_variance,0.015426600974786119
confirmation,2015-03-13,min_variance,-0.006289930119210917
confirmation,2015-03-16,min_variance,0.011410069880789084
confirmation,2015-03-17,min_variance,-0.003962951083447642
confirmation,2015-03-18,min_variance,0.007312979740479387
confirmation,2015-03-19,min_variance,-0.0039733990252138855
confirmation,2015-03-20,min_variance,0.009871944095368734
confirmation,2015-03-23,min_variance,0.0006841677138937996
confirmation,2015-03-24,min_variance,-0.002314755417238209
confirmation,2015-03-25,min_variance,-0.009541356392024325
confirmation,2015-03-26,min_variance,-0.004493160725814891
confirmation,2015-03-27,min_variance,0.005487398320497774
confirmation,2015-03-30,min_variance,0.011449650596054586
confirmation,2015-03-31,min_variance,-0.005680937107289827
confirmation,2015-03-02,equal_weight,0.006200000000000001
confirmation,2015-03-03,equal_weight,-0.004660000000000001
confirmation,2015-03-04,equal_weight,-0.00324
confirmation,2015-03-05,equal_weight,0.0019399999999999999
confirmation,2015-03-06,equal_weight,-0.0137
confirmation,2015-03-09,equal_weight,0.0036800000000000005
confirmation,2015-03-10,equal_weight,-0.01526
confirmation,2015-03-11,equal_weight,-0.00042
confirmation,2015-03-12,equal_weight,0.012719999999999999
confirmation,2015-03-13,equal_weight,-0.00536
confirmation,2015-03-16,equal_weight,0.013059999999999999
confirmation,2015-03-17,equal_weight,-0.0023000000000000004
confirmation,2015-03-18,equal_weight,0.01094
confirmation,2015-03-19,equal_weight,-0.00268
confirmation,2015-03-20,equal_weight,0.007980000000000001
confirmation,2015-03-23,equal_weight,-0.0019399999999999999
confirmation,2015-03-24,equal_weight,-0.00524
confirmation,2015-03-25,equal_weight,-0.015479999999999999
confirmation,2015-03-26,equal_weight,-0.0024400000000000003
confirmation,2015-03-27,equal_weight,0.00384
confirmation,2015-03-30,equal_weight,0.012240000000000001
confirmation,2015-03-31,equal_weight,-0.0082
confirmation,2015-04-01,localized,-0.005375091224289994
confirmation,2015-04-02,localized,0.004673514275097572
confirmation,2015-04-06,localized,0.005524010538552438
confirmation,2015-04-07,localized,-0.0025765007613754143
confirmation,2015-04-08,localized,0.00593950139479599
confirmation,2015-04-09,localized,0.003224527974397468
confirmation,2015-04-10,localized,0.004218026553285543
confirmation,2015-04-13,localized,-0.004443139298918442
confirmation,2015-04-14,localized,-0.00048334210502530995
confirmation,2015-04-15,localized,0.0017952657588225281
confirmation,2015-04-16,localized,-0.00013638989467753412
confirmation,2015-04-17,localized,-0.01198476349239635
confirmation,2015-04-20,localized,0.009459586968694058
confirmation,2015-04-21,localized,0.001985527458951472
confirmation,2015-04-22,localized,0.003008700692587079
confirmation,2015-04-23,localized,0.003302517361886451
confirmation,2015-04-24,localized,0.0047947817599487295
confirmation,2015-04-27,localized,-0.008363165911191274
confirmation,2015-04-28,localized,-0.00047211936705349384
confirmation,2015-04-29,localized,-0.007570294182427217
confirmation,2015-04-30,localized,-0.011070780092907389
confirmation,2015-04-01,all_gene,-0.010273594554593129
confirmation,2015-04-02,all_gene,0.001995277986815828
confirmation,2015-04-06,all_gene,0.0017368162618556433
confirmation,2015-04-07,all_gene,0.0029215825036516788
confirmation,2015-04-08,all_gene,0.009115732612762403
confirmation,2015-04-09,all_gene,0.006241566988336303
confirmation,2015-04-10,all_gene,0.008482354228299117
confirmation,2015-04-13,all_gene,-0.004237768435645218
confirmation,2015-04-14,all_gene,0.0005088708983057249
confirmation,2015-04-15,all_gene,0.005243878283186966
confirmation,2015-04-16,all_gene,-0.0014495616531363937
confirmation,2015-04-17,all_gene,-0.009452878323657408
confirmation,2015-04-20,all_gene,0.007038500432709409
confirmation,2015-04-21,all_gene,0.006489455588111321
confirmation,2015-04-22,all_gene,0.002186221496829622
confirmation,2015-04-23,all_gene,0.004808931209957934
confirmation,2015-04-24,all_gene,-0.002893860460115339
confirmation,2015-04-27,all_gene,-0.018434252435442167
confirmation,2015-04-28,all_gene,0.00024398028969569653
confirmation,2015-04-29,all_gene,-0.0051260457922368795
confirmation,2015-04-30,all_gene,-0.01661649617369295
confirmation,2015-04-01,random,-0.010493187224424298
confirmation,2015-04-02,random,0.0016645979611531279
confirmation,2015-04-06,random,0.0011487749123545697
confirmation,2015-04-07,random,0.0034767069542305184
confirmation,2015-04-08,random,0.009481485384171158
confirmation,2015-04-09,random,0.006555434551584682
confirmation,2015-04-10,random,0.008981743741624186
confirmation,2015-04-13,random,-0.004024403273059161
