signalname,is_mean,pp_mean,is_n,pub_year,retention,is_mean_z,pub_year_z,log_n_z
Frontier,2.0801046901959825,0.48646468679952415,288,2009,0.23386548239247065,3.0315475031389933,0.633465231711692,-0.09500888213517249
GP,0.3010693855006836,1.0241899485981474,576,2013,3.401840233256868,-0.8855630375850231,1.129739311546082,1.1343140382789696
Governance,0.5179682959720546,-0.5385579978690395,111,2003,-1.0397508922015097,-0.40799128494098047,-0.1109458880398932,-1.7859537891430548
GrAdExp,0.4054591094938897,0.11041554345181082,444,2014,0.2723222659607671,-0.6557159473570453,1.2538078315046797,0.6726920516852294
GrLTNOA,0.36912810663643353,-0.04699287964587776,360,2003,-0.1273077796055303,-0.735710174493752,-0.1109458880398932,0.30074470363512074
GrSaleToGrInv,0.31736648952984486,-0.026741874650273393,180,1998,-0.0842618093986215,-0.8496797935552836,-0.7312884878328808,-0.9285782167790214
Herf,0.21272709003764206,-0.3101278323149891,468,2006,-1.4578671304163093,-1.0800766235924149,0.2612596718358994,0.7660577177440937
HerfAsset,0.1799741613153379,-0.3791548796239124,468,2006,-2.106718413648192,-1.152192585540508,0.2612596718358994,0.7660577177440937
HerfBE,0.22122261566544296,-0.3384157710960924,468,2006,-1.5297521461724408,-1.0613710291065597,0.2612596718358994,0.7660577177440937
High52,0.4701974514645906,0.20295159074032793,468,2004,0.43163056309251757,-0.5131739522357842,0.013122631918704325,0.7660577177440937
IO_ShortInterest,2.232290931750517,5.790645223823447,276,2005,2.594036978541386,3.3666337880334574,0.13719115187730185,-0.17048997901671714
IdioVol3F,0.9684962910088176,0.26852365174506077,456,2006,0.27725831708179044,0.5839890054962681,0.2612596718358994,0.7199892034371634
IdioVolAHT,0.8943252905668114,0.21982871878744978,264,2003,0.24580398330022096,0.42067802067172066,-0.1109458880398932,-0.24932687270066586
Illiquidity,0.3940535323330135,0.042990231625354446,408,2002,0.1090974400631017,-0.6808289433734797,-0.23501440799849072,0.5227263039932631
IndIPO,0.6687946878564215,0.43617999760952686,152,1991,0.6521881909791232,-0.0758991404453919,-1.5997681275430635,-1.2284415266962705
IndMom,0.25690338925409634,0.31278572639083,396,1999,1.2175227711046737,-0.9828084879605653,-0.6072199678742833,0.46978093701862583
