date,index_url,index_retrieved_utc,index_sha256,file_count,median_size,invalid_below_half_median,selected_offset_seconds,selected_name,selected_url,selected_size,selected_last_modified,selected_etag,selected_file_time
2025-07-11,https://data.everef.net/market-orders/history/2025/2025-07-11/index.json,2026-08-04T00:48:46.586891+00:00,093fc39db049b454908ce9c324193193c7e3a2db29d1043b9ecd5f36acad0ed6,47,19475035,0,8,market-orders-2025-07-11_12-15-08.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-11/market-orders-2025-07-11_12-15-08.v3.csv.bz2,19469771,2025-07-11T12:20:43.078Z,58a70604d3c4cd4434efeaa57959d4e9,2025-07-11T12:15:08Z
2025-07-12,https://data.everef.net/market-orders/history/2025/2025-07-12/index.json,2026-08-04T00:48:46.650605+00:00,a80bf05e89eab8f2250252d7e684b12b402d2322a05f0a1c628557218dc96e02,48,19409690.0,0,7,market-orders-2025-07-12_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-12/market-orders-2025-07-12_12-15-07.v3.csv.bz2,19404872,2025-07-12T12:20:46.473Z,353f65266dbbcd420fa5aba337d45d10,2025-07-12T12:15:07Z
2025-07-13,https://data.everef.net/market-orders/history/2025/2025-07-13/index.json,2026-08-04T00:48:46.916355+00:00,d6355f4082d3ba1c6c5c291b73e527f1e4d03dbee7805be527f74a42c603f45a,48,19394332.5,0,7,market-orders-2025-07-13_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-13/market-orders-2025-07-13_12-15-07.v3.csv.bz2,19391940,2025-07-13T12:20:56.911Z,dc61e9c760cb36f3b1ad2440aaea62d2,2025-07-13T12:15:07Z
2025-07-14,https://data.everef.net/market-orders/history/2025/2025-07-14/index.json,2026-08-04T00:48:46.774803+00:00,15a21a2472272be3cd48dcc74d41ae41a46cbbe3b389f96bb807ef0087a4261b,48,19407188.5,0,8,market-orders-2025-07-14_12-15-08.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-14/market-orders-2025-07-14_12-15-08.v3.csv.bz2,19391623,2025-07-14T12:20:31.452Z,d7a2c624e1cc2455c0cb9a0addf53509,2025-07-14T12:15:08Z
2025-07-15,https://data.everef.net/market-orders/history/2025/2025-07-15/index.json,2026-08-04T00:48:46.771673+00:00,348c161b557235beb37e18232e6e643daaaf301f3bcf458f2cf376dc41158100,26,19447983.5,0,7,market-orders-2025-07-15_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-15/market-orders-2025-07-15_12-15-07.v3.csv.bz2,19420462,2025-07-15T12:20:45.831Z,9195f3718ebab7d71a6941bfb17eb6ab,2025-07-15T12:15:07Z
2025-07-16,https://data.everef.net/market-orders/history/2025/2025-07-16/index.json,2026-08-04T00:48:47.024387+00:00,74fdcb5aebcdac2e4dd82aeccdcefe9ebab0b68a2ff8dd9953f0d144020b1675,15,19396506,0,16212,,,,,,
2025-07-17,https://data.everef.net/market-orders/history/2025/2025-07-17/index.json,2026-08-04T00:48:47.027420+00:00,c84f6a04da8311643fb74502f0236ea70ea82f1ab17512616e741f47858cf4ad,48,19349493.0,0,8,market-orders-2025-07-17_12-15-08.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-17/market-orders-2025-07-17_12-15-08.v3.csv.bz2,19349173,2025-07-17T12:20:36.671Z,6c27eef8c019675741ba974dd771d3a1,2025-07-17T12:15:08Z
2025-07-18,https://data.everef.net/market-orders/history/2025/2025-07-18/index.json,2026-08-04T00:48:47.313862+00:00,742ee150c587175323fb9acff5837a5dd1702d099a4fe6189ad724ff606d6a0b,33,19298944,6,1806,market-orders-2025-07-18_12-45-06.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-18/market-orders-2025-07-18_12-45-06.v3.csv.bz2,19288863,2025-07-18T12:58:30.741Z,531fada9f54de46b7143cbdc7aef653b,2025-07-18T12:45:06Z
2025-07-19,https://data.everef.net/market-orders/history/2025/2025-07-19/index.json,2026-08-04T00:48:47.142793+00:00,41bdec3cb15c84bb40e2cfe19de3346a5beafa3063c9bd0eb89f63d9a845a419,48,19266486.5,0,7,market-orders-2025-07-19_12-15-07.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-19/market-orders-2025-07-19_12-15-07.v3.csv.bz2,19261305,2025-07-19T12:20:09.961Z,62d837ea816adf56a24557c5997e3ee1,2025-07-19T12:15:07Z
2025-07-20,https://data.everef.net/market-orders/history/2025/2025-07-20/index.json,2026-08-04T00:48:47.426957+00:00,a566962975efd0c05079959db6c34990503e35e62b3076c9436af81e3f93d903,48,19254494.0,0,6,market-orders-2025-07-20_12-15-06.v3.csv.bz2,https://data.everef.net/market-orders/history/2025/2025-07-20/market-orders-2025-07-20_12-15-06.v3.csv.bz2,19249863,2025-07-20T12:20:03.436Z,f224af5c1d4ec8abfea44b836a7c9a74,2025-07-20T12:15:06Z
