name,in_sample,post_pub,post_sample,significance,postpub_minus_insample
op_atl1,-0.0006981005343358729,0.00041420760300255933,0.0014531264409487956,1.0,0.001112308137338432
ope_be,0.0010265326299488614,0.0017210492568971907,0.0016320508896083248,1.0,0.0006945166269483292
opex_at,0.0011033240849336811,0.00015950332933046122,0.0047274346463656,1.0,-0.0009438207556032199
pi_nix,-0.00027851590696822005,-0.0006191134938931753,0.0015662964704941228,1.0,-0.00034059758692495524
ppeinv_gr1a,0.002854819139812475,0.0011699384659004202,-0.0016139598163563804,1.0,-0.001684880673912055
prc_highprc_252d,0.0027147826193860878,0.0032957864768451846,0.00013662423228979502,1.0,0.0005810038574590969
qmj,0.003883777261106596,0.0019020138225698845,0.0065067263805011835,1.0,-0.0019817634385367114
qmj_growth,0.0022636583398855754,0.0030750913509275707,0.0011711516122064208,1.0,0.0008114330110419953
qmj_prof,0.0018090539322284263,0.000597246453317325,0.005495204042932537,1.0,-0.0012118074789111014
qmj_safety,0.0015326979313268162,0.00010826469363775228,0.0063746884042259,1.0,-0.0014244332376890639
rd5_at,0.003466954853074887,0.0042769663957050235,-0.0012724530136292275,0.0,0.0008100115426301364
rd_me,0.008648302772237083,0.0029250419724803204,0.004718668938352522,1.0,-0.005723260799756763
rd_sale,0.0014848693557890373,0.0012205502788980949,0.005547487215247434,0.0,-0.00026431907689094245
resff3_12_1,0.0053886018151267845,0.0031362108460824107,0.003520429082468404,1.0,-0.0022523909690443738
resff3_6_1,0.00226970359122161,0.0014666416047379592,-0.0008308517693023749,1.0,-0.0008030619864836507
ret_12_1,0.002066360602218503,0.005199450740083918,0.0001695890817743872,1.0,0.003133090137865415
ret_12_7,0.004761946622175528,0.003792724431791125,0.009722133728830705,1.0,-0.0009692221903844027
ret_3_1,-0.009647167047148438,0.0015876949351170749,-0.0028876879132626355,1.0,0.011234861982265512
ret_6_1,0.0007825525224902359,0.0032431672843634338,-0.005912286421939095,1.0,0.002460614761873198
ret_9_1,0.0013748544481130877,0.004250378963127437,-0.0019816968657518186,1.0,0.0028755245150143497
rmax1_21d,0.0033457925537589495,0.0018684678663538385,0.0028632285013257142,1.0,-0.001477324687405111
rmax5_21d,0.00332414611830818,0.0014497483856374446,0.0029987443546680916,1.0,-0.0018743977326707356
rmax5_rvol_21d,0.0009383336230270235,0.0005656894763406334,0.0023148471643156185,1.0,-0.00037264414668639013
rskew_21d,0.0008451493323051655,0.0007273705844091768,0.001115468594026727,1.0,-0.00011777874789598865
rvol_21d,0.002709616932337377,0.0018667409495436232,0.003999770835827778,1.0,-0.000842875982793754
sale_bev,0.002177519169797503,0.0019452577879109246,0.0018052789321109444,1.0,-0.00023226138188657845
sale_emp_gr1,-0.012440283678539098,0.0006376483910439988,0.0014051738721110357,0.0,0.013077932069583097
sale_gr1,0.00915870859929543,-7.156080496848128e-05,0.0013688047892949852,1.0,-0.009230269404263912
sale_gr3,0.027459334368007286,0.0007339221801934711,-0.003083377432030104,1.0,-0.026725412187813814
sale_me,0.011551770133907577,0.0035399330317742207,0.002846656380552635,1.0,-0.008011837102133356
saleq_su,0.0013536914449983493,0.002420993691791808,0.00028795277829193335,1.0,0.0010673022467934587
seas_11_15an,-0.0009018804540930333,0.0012434452003298956,0.0010655160397678417,1.0,0.002145325654422929
seas_11_15na,-0.0051184638826098335,0.0004779496441454763,0.002260234804175247,0.0,0.00559641352675531
seas_1_1an,0.0029001057517209724,0.0023529195464379996,0.0019678351142750506,1.0,-0.0005471862052829728
seas_1_1na,0.0006308263188561439,0.002593266944781969,0.006162263975573967,1.0,0.0019624406259258253
seas_2_5an,0.004496835167647932,0.00039966702683601066,0.0034338698777877947,1.0,-0.004097168140811921
seas_2_5na,0.005870948875930753,0.0007571648589820981,0.0033105313699565513,1.0,-0.005113784016948655
seas_6_10an,0.00727993282320729,0.0029309427048201785,0.0017516654683600278,1.0,-0.004348990118387111
seas_6_10na,0.0032800397863015727,0.0019530729917898275,0.006879315783376868,1.0,-0.0013269667945117452
sti_gr1a,-0.0009258356741738456,6.261615083475251e-05,0.0002905067151369688,0.0,0.0009884518250085981
taccruals_at,0.0017881837738826943,-0.0002970182275023242,-0.002124052215396623,1.0,-0.0020852020013850184
taccruals_ni,-0.0003200617377275692,-0.0008658039387370791,-0.003985302063524905,1.0,-0.0005457422010095099
tangibility,0.0003870893143109698,0.00047733477779485846,0.002622471520534735,0.0,9.024546348388867e-05
tax_gr1a,-0.0006443206936917261,0.000900129044134575,0.0019230116920571133,1.0,0.0015444497378263012
turnover_var_126d,0.0029357784037456307,-0.00018580672566442883,0.002572109921149686,1.0,-0.0031215851294100596
z_score,-0.0041154112831168835,-0.0008079601782033437,0.004230891327809022,1.0,0.00330745110491354
zero_trades_126d,0.0024383901056921333,0.0007375803768075161,-0.00038982390428248865,1.0,-0.0017008097288846173
zero_trades_21d,-0.00036953924891987365,0.0005028083865546207,-0.0003477661645761917,0.0,0.0008723476354744943
zero_trades_252d,0.00190107592188105,0.0007569322917322425,6.388175758372521e-06,1.0,-0.0011441436301488075
