deleted_factor,post_pub_pct,post_pub_t,shift_pct
ni_ivol,-0.16896267302037926,-2.9885365000985935,-0.004629141028356876
ni_me,-0.1636897034255788,-2.957583605453286,0.0006438285664435994
niq_at,-0.16638179343824303,-3.035189008165622,-0.0020482614462206394
niq_be,-0.1658045659932549,-3.021503815864102,-0.001471034001232524
niq_su,-0.16398259880480937,-2.9537601819226587,0.0003509331872130206
nncoa_gr1a,-0.1625807013854451,-2.952547354738986,0.0017528306065772992
noa_at,-0.1654041872596905,-2.974200461430659,-0.0010706552676681136
noa_gr1a,-0.16178804082653903,-2.948308967623949,0.00254549116548336
o_score,-0.16529217687679199,-2.9893804831383712,-0.0009586448847695994
oaccruals_at,-0.1648678168859263,-2.96731128372474,-0.0005342848939039191
oaccruals_ni,-0.16465748640533256,-2.9630166199400056,-0.00032395441331017905
ocf_at,-0.16587688020294666,-3.020935274255565,-0.001543348210924278
ocf_at_chg1,-0.16642511971934598,-2.998490667929576,-0.002091587727323596
ocf_me,-0.16224416439330483,-2.95860879505992,0.0020893675987175564
ocfq_saleq_std,-0.16504376643702545,-3.0043328520096844,-0.0007102344450030662
op_atl1,-0.16697876612670257,-3.0152322333978914,-0.00264523413468018
ope_be,-0.16655148672862735,-3.0351233500700125,-0.0022179547366049657
opex_at,-0.16496784955124785,-2.9522780874159427,-0.0006343175592254668
pi_nix,-0.1658468564131419,-2.9931172391007217,-0.0015133244211195107
ppeinv_gr1a,-0.16155171158717732,-2.9420718640747268,0.0027818204048450645
prc,-0.16041235866173909,-2.8586918940736497,0.003921173330283301
prc_highprc_252d,-0.16652272859325096,-3.0830887364123525,-0.0021891966012285713
qmj,-0.16528777479667,-2.9928050290806762,-0.0009542428046476203
qmj_growth,-0.16553592311224413,-2.9831639893071964,-0.0012023911202217463
qmj_prof,-0.16593601343148004,-3.006410322237182,-0.0016024814394576536
qmj_safety,-0.16312694941762101,-2.97449035704629,0.0012065825744013714
rd5_at,-0.1697749336042556,-3.000006868320717,-0.005441401612233221
rd_me,-0.16556254107801072,-2.9650025249078666,-0.0012290090859883307
rd_sale,-0.16882445162771348,-2.9989027962922523,-0.004490919635691093
resff3_12_1,-0.15974596927196247,-2.88559891112185,0.004587562720059918
resff3_6_1,-0.16302646773760637,-2.9419455463351927,0.0013070642544160127
ret_12_1,-0.16331391114008412,-2.9588020076384396,0.0010196208519382688
