seed,family,method,regret,recovery_days,annual_return,annual_volatility,annual_es_5,annual_turnover,genome_diversity,evaluated_candidates
10015,confirmation,evolution,0.17875706768270141,1.0,-0.04286160919471085,0.03085730471403448,1.5439950007722447,3.9001486862345103,0.1433437363649594,576
10016,confirmation,static,0.31336192117617134,1.0,-0.11659022220155539,0.06246321358185383,2.4876506160640894,26.020574486374226,0.9005624490943381,0
10016,confirmation,random,0.30328627823107335,1.0,-0.10651457925645741,0.056142525780582236,2.2329650149186593,20.041262425657337,0.9989796244500018,576
10016,confirmation,evolution,0.2401784203831974,1.0,-0.043406721408581456,0.046186732345720995,1.831282477314141,20.889264743747034,0.31513799261953707,576
10017,confirmation,static,0.2762725536404773,1.0,-0.041106890532340505,0.07710670298821944,2.944185680782347,26.088627982259624,0.8303918483975556,0
10017,confirmation,random,0.23810228576291587,191.0,-0.002936622654779071,0.0680933108674512,2.657476759716544,14.283578487698351,0.7698452004846267,576
10017,confirmation,evolution,0.22026898892644256,1.0,0.01489667418169424,0.051120789734798396,1.8072050722801551,23.391453071023818,0.1439063059700839,576
10018,confirmation,static,0.2218955708847749,69.0,0.15547979352665903,0.08277415793496273,2.615617470197117,19.495017661842596,0.9273475054405583,0
10018,confirmation,random,0.23613414774359018,40.0,0.14124121666784376,0.07289945503527206,2.29643163296524,16.548228832794866,0.8956633301780133,576
10018,confirmation,evolution,0.14140995135498982,52.0,0.2359654130564441,0.10432494619528229,3.199423099446851,22.26683657925839,0.18363613940609752,576
10019,confirmation,static,0.27952687681804084,41.0,0.016504565422928837,0.08946581843415083,3.217689930072762,23.239174836712618,0.9909350989911299,0
10019,confirmation,random,0.2797559346313215,32.0,0.016275507609648195,0.11153870330380589,3.8293818821016417,31.269734115770213,0.5347296493549535,576
10019,confirmation,evolution,0.2802274767042538,43.0,0.015803965536715862,0.06411146902671214,2.3680000087012387,15.329567166066896,0.15262770256824032,576
10020,confirmation,static,0.34814733623689076,1.0,-0.029654065709929768,0.07415252569029283,2.916511460756017,20.353595304587632,0.8330376596378133,0
10020,confirmation,random,0.40909050139088915,1.0,-0.09059723086392817,0.08575349063789423,3.3939486249600668,23.235876436087256,0.8051665949671695,576
10020,confirmation,evolution,0.37638927080456497,1.0,-0.05789600027760401,0.07198303438486942,2.912739928585122,18.69313425073358,0.1432867486763209,576
10021,confirmation,static,0.3227951198593636,252.0,-0.102072701802883,0.0749372992084882,2.843828862514805,27.038992959214966,0.7728580012938414,0
10021,confirmation,random,0.3139968872217486,252.0,-0.093274469165268,0.06102002145373582,2.4574719442975685,20.565946891159626,0.9166038708373255,576
10021,confirmation,evolution,0.24498144688513532,82.0,-0.024259028828654713,0.0664057240435884,2.4879284991823436,41.14697000504031,0.10553851107428655,576
10022,confirmation,static,0.30988696016910783,7.0,-0.02867315395335697,0.08260575613501428,2.8202173650584057,23.656039018022145,0.895356400700003,0
10022,confirmation,random,0.2834052965599323,5.0,-0.0021914903441814446,0.06467428085390886,2.073647889829358,14.533671047577252,0.7024723630198562,576
10022,confirmation,evolution,0.30464134181448477,15.0,-0.023427535598733923,0.05039947342457807,1.6869117272937593,26.63543848125637,0.2726341673722944,576
