seed,family,method,full_return,early_return,annual_volatility,annual_es_5,annual_turnover,evaluated_candidates,mean_distance,local_share,hybrid_share,global_share
70001,mean_reversion,evolution,-0.02007796691855991,-0.009620151911432357,0.059349663700686534,1.9578580302052786,22.678246329336847,576,,1.0,0.0,0.0
70001,mean_reversion,random,0.008111370030787497,-0.014774757339186645,0.09622796788325702,3.473531638109408,24.39093446431566,576,,0.0,0.0,1.0
70001,mean_reversion,hybrid,0.022550384757293505,-0.0033969088545869417,0.09917704487050177,3.5257131262372186,25.256541839886378,576,,0.0,1.0,0.0
70001,mean_reversion,gate,0.030840775103316932,0.00497650448081406,0.10085590772769557,3.585599089802662,21.300974640561993,576,1.9667623148725968,0.08333333333333333,0.9166666666666666,0.0
70002,mean_reversion,evolution,0.031077431466536697,0.007339492495913286,0.08644186775800428,2.9182582986534196,26.809886834975455,576,,1.0,0.0,0.0
70002,mean_reversion,random,0.13973882124826842,0.0716807694352405,0.09620971800631174,3.007678127587115,13.764749482153713,576,,0.0,0.0,1.0
70002,mean_reversion,hybrid,0.1507331792644081,0.08856758738482018,0.10531734460912348,3.3335832267855436,13.081970890353466,576,,0.0,1.0,0.0
70002,mean_reversion,gate,0.13339086073105694,0.08075199715303046,0.10212995775332706,3.163819755926049,16.81593174972494,576,1.6833656675969515,0.16666666666666666,0.8333333333333334,0.0
70003,mean_reversion,evolution,-0.008889527564603053,0.04875375936542353,0.09366875536607516,2.9418157987043267,19.851444371390137,576,,1.0,0.0,0.0
70003,mean_reversion,random,-0.021205731891331285,0.005290277653541061,0.07212121160870553,2.4533230615251362,22.436607634910306,576,,0.0,0.0,1.0
70003,mean_reversion,hybrid,-0.05168799693134166,-0.001193442473308866,0.07684653130773478,2.5566084928484667,26.361261513223354,576,,0.0,1.0,0.0
70003,mean_reversion,gate,0.0021575773430043133,0.03914156074733241,0.09384665858750763,2.9718158078441452,21.52815162903151,576,1.7111516128214637,0.16666666666666666,0.8333333333333334,0.0
70004,mean_reversion,evolution,0.018539031817825666,-0.018315816060754983,0.05015499751466156,1.6955454821180402,13.999154267343503,576,,1.0,0.0,0.0
70004,mean_reversion,random,-0.018500193496741375,-0.03406670145741712,0.05972682997785067,2.0576224675527035,29.300094534455397,576,,0.0,0.0,1.0
70004,mean_reversion,hybrid,-0.015715952423619506,-0.01805945658755195,0.05222425454939537,1.889036500355996,22.918757117189116,576,,0.0,1.0,0.0
70004,mean_reversion,gate,0.014492902658207463,-0.014209763737606705,0.05073860327340915,1.7566516549489375,17.262423785477818,576,1.6237974195185811,0.16666666666666666,0.8333333333333334,0.0
70005,mean_reversion,evolution,-0.11136870399475794,-0.09140603340529996,0.054154185024733244,2.1680290272753533,33.86477313194351,576,,1.0,0.0,0.0
70005,mean_reversion,random,-0.07137592089697532,-0.07381537668115808,0.06788566863323857,2.5346625952286153,21.888236169660637,576,,0.0,0.0,1.0
70005,mean_reversion,hybrid,-0.06409322274303045,-0.06094893175179803,0.06363379739110486,2.3538610757019853,15.612364295172618,576,,0.0,1.0,0.0
70005,mean_reversion,gate,-0.11392972762116198,-0.09950288927841598,0.05568329215594608,2.1904116689031885,27.860722893794858,576,1.6505864087153892,0.25,0.75,0.0
80000,correlation_break,evolution,-0.015306106779528685,0.026230644894290934,0.05244780640862885,1.8710848141974572,7.261284379370054,576,,1.0,0.0,0.0
80000,correlation_break,random,-0.050893360813645545,0.028321186727473073,0.07821706860362676,3.0152668715062836,15.341792408485121,576,,0.0,0.0,1.0
80000,correlation_break,hybrid,-0.04548318543244961,0.03119498486142459,0.0677666680088159,2.628297934764279,12.614024679073282,576,,0.0,1.0,0.0
80000,correlation_break,gate,-0.037737232848636934,0.04845189947114655,0.08078358134105353,3.064460064591335,13.455230741911432,576,2.6832322824410304,0.08333333333333333,0.16666666666666666,0.75
80001,correlation_break,evolution,-0.05642868266799334,-0.02066860768549634,0.041765002720874585,1.558455615357449,11.853767582407265,576,,1.0,0.0,0.0
80001,correlation_break,random,-0.029827039706919578,-0.0397678550898594,0.06171347334277788,2.0863474042759464,19.99978705293619,576,,0.0,0.0,1.0
80001,correlation_break,hybrid,-0.05542062613673011,-0.02740553467389611,0.046857782200508055,1.6573045316280217,14.89731232413027,576,,0.0,1.0,0.0
80001,correlation_break,gate,-0.031000738636751318,-0.02847826505776106,0.057746439769271275,1.9746214758739113,16.650409267863562,576,2.8184309748630856,0.08333333333333333,0.08333333333333333,0.8333333333333334
80002,correlation_break,evolution,-0.013833223332525887,0.0246799736711665,0.11249584170589477,4.0245817025887245,29.85911002189023,576,,1.0,0.0,0.0
80002,correlation_break,random,-0.07819040852743395,-0.0016063913084595864,0.07550074968379757,2.9642065780046627,21.771917340853204,576,,0.0,0.0,1.0
80002,correlation_break,hybrid,-0.0598000387346779,-0.012508982810620142,0.06776342615702498,2.820857875418842,22.629610973899286,576,,0.0,1.0,0.0
