run,selected_train_mean,selected_test_mean,chosen_filter
139,0.07266216106232773,0.06516343122702804,38
140,0.12524572346126253,0.016641929931428674,24
141,0.07009336279368239,0.017374919715095458,15
142,0.11084084059150648,0.07379579130022383,17
143,-0.011137815024210074,-0.0011902725626574645,32
144,0.18456434309532732,-0.06485602155079748,37
145,0.11711851288740206,-0.051345559108118166,15
146,0.10248745117535818,-0.03160567880725052,37
147,0.022383005182118106,-0.08000191522332331,38
148,0.09735487323353705,-0.04112111646170466,40
149,0.04071636163431199,0.10982721408796299,12
150,0.12489761991753442,0.16866394226573475,10
151,0.1806681276529038,-0.021161964701103972,42
152,0.12469863134042597,-0.1066690176884149,16
153,0.08609764524556475,0.02459485715671353,21
154,0.07741211205194633,0.0024031441876428412,6
155,0.07862330021213523,0.0020945976774867227,12
156,0.10302077470090235,-0.1183551582685519,12
157,0.05959902256857206,-0.00923650794206582,8
158,0.0352980582858636,-0.04167513694756819,43
159,0.07640851264484151,0.015669600818693924,18
160,0.04124180546192152,0.05404437922705941,32
161,0.034020703025314465,-0.0554040372824438,6
162,0.16538820350532935,-0.14740984723925332,20
163,0.044515414288851106,0.07451198961239953,43
164,0.10290172849647344,0.09209414030100074,17
165,0.06466675744572582,0.10603863096410553,41
166,0.15013639304700846,-0.1190511655376866,11
167,0.15671002281704827,0.024580931153922885,8
168,0.0888985359281382,0.08827103569172086,12
169,0.12119132745714185,0.04870874266224803,14
170,0.10343941862512311,-0.03041440514036064,29
171,0.15070124121281012,0.04484313335029653,18
172,0.04502492332035313,-0.04040126770657335,22
173,0.14208978746171871,0.011432435023308837,26
174,0.053265192881007575,0.045019501939033535,30
175,0.07230214315237662,-0.08982811795088236,8
176,0.15685582679947982,-0.01369069255165159,41
177,0.11908268428373081,0.04703982010023891,8
178,0.10828565179934978,-0.11513088345295701,48
179,0.07590896400127953,0.028941603994362568,36
180,0.18028263377627332,-0.08469259028574687,8
181,0.14854721143729965,0.03258397662654603,20
182,0.05973340388797029,0.02063876657114299,17
183,0.05982487512722297,0.02332247334123864,23
184,0.13735566073838917,0.009897573006459152,27
185,0.14593539907936587,-0.025339611844687727,20
186,0.07137055669389959,-0.02463816593714876,32
187,0.11745960439296321,-0.07212642760383135,5
188,0.23159116009834327,0.09162996375641454,45
189,0.15024461567258196,0.005692650032503981,14
190,0.12604125663426882,-0.03736491837495829,40
191,0.13977117316185084,0.019340549065511633,29
192,0.058886622911683534,0.07584562670799837,26
193,0.0673198708654325,-0.027006756942629866,0
194,0.048147597699749786,0.0343124256825649,23
195,0.13310734878332742,0.0176594003113341,17
196,0.10615148919556747,0.11802410707228372,6
197,0.07149060877059639,0.055991471985307066,6
198,0.036917922476794506,0.12241185504042368,15
199,0.10074503082900654,-0.037046172007339444,26
200,0.09875674155231356,-0.08052844941284167,32
201,0.1169601362571067,0.0377814194192189,29
202,0.0785604331994821,-0.03419502412473994,46
203,0.09744226669417466,-0.08303968992224785,39
204,0.0209036889531735,-0.03956456843426387,4
205,0.13140622509507371,-0.0551787228772881,12
206,0.08619155240373597,0.013729933985230546,29
207,0.026500263919494876,0.09743670105283654,22
208,0.06351985507710178,-0.13257103285117494,13
209,0.14686189226163646,0.05119097249083219,2
210,0.026077278437477373,0.010707005564063258,43
211,0.09306322266111162,-0.13726633034948885,25
212,0.10190988469884202,0.001594337956387815,1
213,0.08681330022937914,-0.06469496409469243,20
214,0.016984396597761388,-0.0670930071962122,31
215,0.06392821664874924,-0.018775096932755732,48
216,0.12462900247531433,0.07404100386249216,34
217,0.11406247173692385,-0.052199837257313676,10
218,0.04561430916266343,-0.08640546849371217,28
219,0.04564826759993856,-0.023057268907177214,18
220,0.10327197572059746,-0.12809271830902072,32
221,0.20145896404790553,0.02547683550833895,29
222,0.10650161727419476,-0.10177845055475684,7
223,0.1361875378694032,0.10474311800442616,8
224,0.15534266134411553,-0.04372656129846422,0
225,0.0698418088639273,-0.028075848135442883,48
226,0.1473399903524111,-0.03318206185026781,14
227,0.09013370136153014,0.009851082151073672,25
228,0.1451696287023153,0.06691693731859055,33
229,0.06849416128211029,-0.01927626010365815,44
230,0.0857103519940181,-0.05559673912976437,45
231,0.14256059545469196,-0.02704154007565951,43
232,0.13107581516570452,0.09540040167687662,30
233,-0.026318395882346465,-0.020962858039857986,34
234,0.09656468594531512,0.18950798349032272,26
235,0.05280127064948162,-0.0163911250802123,29
236,0.20168421224136285,0.029057472656206045,34
237,0.08917175088807171,0.004598944967145638,38
238,0.08223431117414627,0.03406067597497843,16
239,0.18839597336128494,-0.01950637294873384,17
240,0.1588807588635111,0.051646446582089375,20
241,0.15878136513278615,0.024733041333295996,1
242,0.04245219123941596,-8.647130425928405e-05,9
243,0.030171470155733335,-0.00804092807481505,39
244,0.1265315734107582,0.12153440780059253,20
245,0.005568647318348425,0.019667633050250523,1
246,0.030584726357670924,-0.05814066813367143,3
247,0.08444607072142983,0.07321861681053272,27
248,0.09134581539817033,-0.043736287670133926,41
249,0.030101041893880964,0.028654570513950567,17
250,0.16394620392524617,0.0204746549659495,5
251,0.06542825896430385,-0.0784760795946771,39
252,0.18906781438654335,0.019402792615860084,44
253,0.057093856623528824,0.004776308503781825,36
254,0.12578022771511382,-0.03229824151116665,38
255,0.07956014367285494,0.022533428937243565,10
256,0.12184229746055442,-0.06136990565227289,14
257,0.08470775774243354,0.01521148052042546,36
258,0.12003998747366845,-0.006228502013961427,47
259,0.12011427899049883,0.044802638243921895,45
260,0.11121475241816715,0.13538773865614115,12
261,0.15434141775702512,-0.05441718099187247,35
262,0.15629889978666225,0.016881378398282246,12
263,0.1412654042888625,-0.08779261533322029,40
264,0.1615139469363048,0.12927842638840098,2
265,0.06418281414843557,-0.017700742451392845,35
266,0.13218084587144122,-0.05290587810217739,7
267,0.1465834445679332,-0.045037535040735245,25
268,0.09207587421967188,-0.015014572079375246,44
269,0.05359189983343816,0.010857256914029167,31
270,0.15352734583859853,-0.07629507173769856,1
271,0.061265440282396166,0.023154780988703615,41
272,0.03305702691466031,0.19889700349843112,38
273,0.2018352737046349,0.046172715008998964,17
274,0.07930958824361835,-0.023807723272111506,43
275,0.037075305781832435,0.047086331846348695,8
276,0.07773091726177143,-0.07670012985865313,6
277,0.20379222664654786,0.04280052964623986,9
278,0.029494722057666237,-0.10215495356390512,2
279,0.15717637691004438,0.009167305703046857,41
280,0.13275903469955266,-0.028452788259062438,32
281,0.06684183644371856,0.025331533732393094,28
282,0.0013243726533218986,0.035561666259486514,3
283,0.1341649056080564,0.0399560848135752,32
284,0.02548043927204949,0.07370884041048145,31
285,0.12842287277101846,-0.09305366948224404,45
286,0.1291814496809606,-0.03818097127551545,41
287,0.06621643480763419,0.06773593293509335,28
288,0.11483798392587583,0.08587399486063552,15
289,0.13775005480107438,0.06057187773352667,45
290,0.12040150870719153,0.009028408872471009,10
291,0.09665049403361357,0.048789766794914126,49
292,0.08308743396978933,0.06775333992367968,44
293,0.062183787530175054,0.08850707237023134,39
294,0.15219916549054002,0.007811795239430391,30
295,0.03473967853300175,-0.11668245802850719,42
296,0.13140816275338912,-0.04549074432254067,37
297,0.09059216910326391,-0.06314285480665638,19
298,0.15654124750822318,-0.028356905831845105,34
299,0.1602248180088139,0.07994057495593909,44
300,0.12573919841227477,-0.011392495229643713,37
301,0.009413758619335584,-0.013345052822785395,5
302,0.09548436206593514,0.030942154449971282,20
303,0.018267101982045758,-0.05507169484700354,5
304,0.11181015237588778,0.027476656771559565,11
305,0.13868217445590342,-0.05083386087041882,14
306,0.12500177358920148,-0.04724538724451654,12
307,0.12526398465783684,0.02904314337003806,18
308,0.12677813632956228,0.08652996885407636,28
309,0.0914735592276819,-0.07686849726376717,16
310,0.1430762898150316,0.017615949430894586,25
311,0.14811815317002472,0.04491815235040779,13
312,0.07660127736218804,0.10603627776020727,13
313,0.12559240480664277,0.006164937408617531,27
314,0.06231973364832681,-0.02704545757192103,44
315,0.09137016214688111,0.008929196278839082,42
316,0.13816199919786235,-0.0076926734108853445,39
317,0.09381750207151525,0.008131909312399243,6
