name,in_sample,post_pub,post_sample,postpub_minus_insample,postpub_minus_postsample
ppeinv_gr1a,0.0046376303528940285,-0.0007105034512308064,-0.004436925990833626,-0.5348133804124835,0.3726422539602819
prc,0.003152014116335407,-0.0015211384445521943,0.003461924459894173,-0.4673152560887601,-0.49830629044463676
prc_highprc_252d,0.0015261802518549002,0.002529309348103393,-0.003389227383867781,0.10031290962484926,0.5918536731971175
qmj,0.002339500319761689,0.002598991845585905,0.008732239256034717,0.025949152582421593,-0.6133247410448812
qmj_growth,0.00204961280677328,0.003777585943484337,-0.0002919805943630334,0.17279731367110573,0.406956653784737
qmj_prof,0.0020238119723068673,0.00363588370252685,0.011939772975651748,0.16120717302199827,-0.8303889273124898
qmj_safety,0.0016250500310814875,-0.0035853071280052603,0.006467705516138587,-0.5210357159086748,-1.0053012644143848
rd5_at,0.0006111529151027267,0.007463278877184971,-0.0017033335706252977,0.6852125962082244,0.916661244781027
rd_me,0.00306662084576064,0.0033933624517555735,0.007734976140845135,0.032674160599493365,-0.4341613689089562
rd_sale,-0.0025217426379747342,0.0024873116377103228,0.004606410624136523,0.5009054275685056,-0.21190989864262
resff3_12_1,0.0055197090292552755,-0.0025126426535013948,-0.0005908522339916917,-0.8032351682756671,-0.1921790419509703
resff3_6_1,0.0026515565209641275,-0.0006178968132723031,-0.004261309345886233,-0.32694533342364307,0.36434125326139305
ret_12_1,0.004869229441873048,0.002270739971782024,0.009641753941651196,-0.2598489470091024,-0.7371013969869172
ret_12_7,0.006442402619409522,-0.00112496549625609,0.006560386628589474,-0.7567368115665613,-0.7685352124845564
ret_1_0,0.003884024496261173,0.0009762428831596876,0.00324065082084975,-0.29077816131014855,-0.22644079376900622
ret_3_1,0.0007104577692352943,1.837836216350144e-05,0.0007392332896792045,-0.06920794070717928,-0.07208549275157031
ret_60_12,0.0032802781794465828,-6.421873678567461e-05,-0.0019070257837090114,-0.33444969162322574,0.18428070469233368
ret_6_1,0.003096208632391792,0.0015170453760041025,-0.0027460257201343164,-0.15791632563876898,0.4263071096138419
ret_9_1,0.0028987854796061097,0.002490458947091417,0.002032767270700933,-0.04083265325146926,0.04576916763904841
rmax1_21d,0.00139642396846994,-0.001368465447508628,0.0040308999381995165,-0.2764889415978568,-0.5399365385708144
rmax5_21d,0.004136448277987547,-0.002022708684031632,0.002603645480232007,-0.6159156962019179,-0.46263541642636385
rmax5_rvol_21d,0.002293291700692818,-0.0027283561819489367,0.005170093832982819,-0.5021647882641754,-0.7898450014931755
rskew_21d,0.0007535439233627261,-5.869467672239512e-05,0.00042269090702823966,-0.08122386000851212,-0.04813855837506348
rvol_21d,0.0007269732747042994,0.0013486358930242144,0.0028469809635611625,0.062166261831991504,-0.1498345070536948
sale_bev,0.0031319179776113566,0.005019204477635973,0.00312917721361015,0.1887286500024616,0.18900272640258228
sale_emp_gr1,-0.0006775513455671167,-0.001688107469902575,0.0007293520089685792,-0.10105561243354583,-0.24174594788711543
sale_gr1,0.002765296586777144,0.00028494362414948173,-0.0017094319607448847,-0.2480352962627662,0.19943755848943664
sale_gr3,0.0028693071233379833,-0.0018630208435936,0.0005798452370308118,-0.4732327966931583,-0.24428660806244118
sale_me,0.003370334056807074,0.0020717325877626204,0.00466675598662848,-0.12986014690444533,-0.259502339886586
saleq_su,-0.0003599757984635283,0.0015208775200672385,-0.0008820480356688026,0.1880853318530767,0.24029255557360413
seas_11_15an,0.0026664030338808434,0.0016151057412973637,-0.000496035525123151,-0.10512972925834796,0.21111412664205145
seas_11_15na,0.0015340178501679128,-0.0009450664375356133,0.0047431653755648645,-0.24790842877035263,-0.5688231813100477
seas_16_20an,0.0014759460720896245,0.0033439933018080247,-0.002469420126750383,0.18680472297184003,0.5813413428558407
seas_16_20na,0.0008263110188545225,-0.0006813831634608766,0.0030634038110252345,-0.15076941823153991,-0.3744786974486111
seas_1_1an,0.004994861036414605,0.002149176194441102,-0.0026815755645492817,-0.28456848419735026,0.48307517589903837
seas_1_1na,0.0029262010262603223,0.0007129282002372251,0.006486941585956964,-0.22132728260230972,-0.5774013385719738
seas_2_5an,0.002851328466112239,-0.0012424414811615671,0.0011066291302401403,-0.4093769947273806,-0.23490706114017074
seas_2_5na,0.004821154840147689,-0.004488910626807054,-0.0034075176117656387,-0.9310065466954741,-0.10813930150414151
seas_6_10an,0.003950381830774764,0.0038914649000216105,0.002977067914902664,-0.005891693075315381,0.09143969851189465
seas_6_10na,0.002998403686538253,-0.0004895729551289215,0.007907607151082664,-0.3487976641667174,-0.8397180106211586
sti_gr1a,-0.0014555130514443126,-0.000765130855700125,-0.0006872003404272833,0.06903821957441877,-0.007793051527284168
taccruals_at,0.0025832986032807855,0.0013332347941800036,-0.004074514614409175,-0.12500638091007818,0.5407749408589179
taccruals_ni,-0.0003838707513934342,1.7419005287958603e-06,-0.0004344062604161584,0.038561265192223006,0.043614816094495426
tangibility,0.0011344107860822242,0.0009708247825430265,0.003919125646275034,-0.016358600353919776,-0.2948300863732008
tax_gr1a,0.001271445096783094,0.0018805759070466947,0.0016275495494820482,0.06091308102636006,0.025302635756464645
turnover_126d,-0.0007987719710041118,-0.001997312582155642,-0.0005774348875819571,-0.11985406111515301,-0.1419877694573685
turnover_var_126d,-0.0013915803853833536,0.0011164412804584298,0.0025810975616526364,0.25080216658417837,-0.14646562811942065
z_score,0.00019249236760808492,0.0014954705197069286,0.005935364383755973,0.13029781520988437,-0.44398938640490443
zero_trades_126d,-0.0004122063245887477,-0.002618271491845718,-0.0006160804486722306,-0.220606516725697,-0.20021910431734874
zero_trades_21d,-0.002592815116112724,-0.0016395573003511132,-0.0007658236859864886,0.09532578157616109,-0.08737336143646245
zero_trades_252d,0.0006916154807483404,-0.0031353012336620715,-0.0007028354361264278,-0.3826916714410412,-0.2432465797535644
