seed,family,method,full_return,early_return,annual_volatility,annual_es_5,annual_turnover,genome_diversity,phenotype_diversity,evaluated_candidates,reserve_floor_margin
40003,mean_reversion,random,-0.06028316619733019,-0.1104019900447442,0.06710429439655054,2.3531477725945784,27.43310245785396,0.7429038416825483,0.20806444506327865,576,
40003,mean_reversion,hybrid_quality,-0.0815187583119511,-0.09827630244072813,0.05941236153534483,2.1382055833538685,32.73615907315378,0.1819845300439611,0.037843860426003274,576,
40003,mean_reversion,hybrid_diverse,-0.05258224981442326,-0.10107358017408355,0.06304886203698673,2.4084801415274275,25.30660012605324,0.5174236123092074,0.15783436501773337,576,0.00015071864172122237
40004,mean_reversion,evolution,0.04494698563755895,-0.01032920869790278,0.08848348724072305,3.0026505659387843,54.313046029399445,0.2255042156031438,0.2744690590494153,576,
40004,mean_reversion,random,0.12014970204012514,0.08079860417900835,0.08676223395354664,2.7396680776907893,23.04725145144612,0.7873898073788603,0.3095845724577724,576,
40004,mean_reversion,hybrid_quality,0.09612011841388116,0.042990806863706,0.09034723621815709,2.7214703816252035,40.70008948209485,0.15313295679329084,0.01687119488047452,576,
40004,mean_reversion,hybrid_diverse,0.11289638269620941,0.07144074422931182,0.09226773974987412,2.864045232812293,22.084489620370043,0.7264257109919297,0.30211659402017904,576,0.010850469258630827
40005,mean_reversion,evolution,-0.014619028793812784,-0.018525055816970098,0.07161197703201186,2.7292752230496093,37.64933518414398,0.21384150490131862,0.07597554762462695,576,
40005,mean_reversion,random,0.022397223284161237,-0.011357844121147606,0.07186415957579943,2.565626392907216,31.284680923123286,0.8746040830491487,0.20625600066988053,576,
40005,mean_reversion,hybrid_quality,-0.007876562095269192,-0.03340617992806463,0.05821453955476475,2.1880463805371693,29.384834209595844,0.44368036293388374,0.10094021274279712,576,
40005,mean_reversion,hybrid_diverse,-0.003655939617725732,-0.0182576275495522,0.07664503511235009,2.8970135882864394,38.5912572113385,0.5795151924445029,0.2119486568619423,576,0.0010895468716240928
40006,mean_reversion,evolution,-0.008065199856065783,-0.033491531968744284,0.08226391156924008,2.5816584871042005,50.61089749669254,0.14214701190194245,0.07985635830909325,576,
40006,mean_reversion,random,0.021081883373134127,-0.03526270688206273,0.07499835077903995,2.467738346818767,25.935693252890285,0.8642183936196972,0.24085049856348487,576,
40006,mean_reversion,hybrid_quality,0.006862682295927677,-0.03655857450846912,0.07097207140741017,2.415419922682177,22.050269280032435,0.8394587667347546,0.19014737267033155,576,
40006,mean_reversion,hybrid_diverse,0.011739228833758934,-0.041440912611730774,0.0684020533841933,2.2808548381858262,23.893127961751784,0.593721323419647,0.1810343921128507,576,0.003373818687958007
40007,mean_reversion,evolution,-0.08693045716102368,-0.059390871119656845,0.046694052431642485,1.757365767945697,29.239800408722587,0.046299897758335165,0.00014896808820005344,576,
40007,mean_reversion,random,-0.11644366030600377,-0.08151737785235737,0.057312315159792154,2.1628635106113765,24.213378925039734,0.7507736694592705,0.18872968773772747,576,
40007,mean_reversion,hybrid_quality,-0.069244124441435,-0.06497674975008046,0.053828086143584496,1.9025510655823739,18.247951231232474,0.14586621051450258,0.022504182635910128,576,
40007,mean_reversion,hybrid_diverse,-0.09065619808338302,-0.07074775151387379,0.048293132528491295,1.7859706839236633,20.29449940371077,0.22588395574044062,0.020239249074457445,576,0.002729820725232479
40008,mean_reversion,evolution,-0.10541299451639656,-0.053246128586247804,0.04334438557231217,1.7105600507188066,23.193511174976756,0.23238516477035312,0.04560916201991861,576,
40008,mean_reversion,random,-0.13422562265496105,-0.049056990749366966,0.05147574397987729,1.9038509506297907,20.7818928470517,0.6968662392084372,0.22054919302257495,576,
40008,mean_reversion,hybrid_quality,-0.1340254835791759,-0.04624707780008747,0.05374425235038608,1.9535462609792922,19.084517099753324,0.6502832032397389,0.19163038864376714,576,
40008,mean_reversion,hybrid_diverse,-0.10510915746295987,-0.029162007753519823,0.04856422114362021,1.9197724986838864,17.686934972615635,0.29387901209295947,0.09132681523159217,576,0.0006416934966449878
40009,mean_reversion,evolution,-0.002488925993697537,-0.007382724769967977,0.07922306456162147,2.354403878965418,31.779140077768872,0.212130251871241,0.01999192153111526,576,
40009,mean_reversion,random,-0.024812749197353753,-0.03567143036567963,0.07597311348456039,2.2292440661299655,30.875355166060668,0.7868672672629811,0.18216283453801563,576,
40009,mean_reversion,hybrid_quality,-0.012563935317509808,-0.01886645831696533,0.06849912846677957,2.226279141135864,28.24660509622748,0.5329771751447555,0.13331471526642036,576,
40009,mean_reversion,hybrid_diverse,-7.724487377773134e-05,-0.019429231021409164,0.06737842140677695,2.2392405902639014,21.505746005131027,0.5843175795301949,0.13858288871651303,576,8.51837980470416e-05
40010,mean_reversion,evolution,0.0026560264189011973,0.023347177101719123,0.07439025752979381,2.416555022379947,23.94210917778653,0.21983749776620148,0.0006798397496493513,576,
40010,mean_reversion,random,-0.004961112422985983,0.023549864644815177,0.08375467495592073,2.7437680208493926,24.307743578942663,0.6379272467008612,0.11331509213846604,576,
40010,mean_reversion,hybrid_quality,-0.006725452324083461,0.03281480511405647,0.08957392369425195,2.872612259532778,29.33932891956861,0.13552177330826773,0.026251030785902275,576,
40010,mean_reversion,hybrid_diverse,-0.023803900942563152,0.016126244531160232,0.08356466034312444,2.7823808782738193,27.82389255989668,0.2682799718111117,0.045410508286511164,576,0.006737439843648704
40011,mean_reversion,evolution,-0.07323871802573056,-0.06472224771249448,0.06593674564117626,2.4701360273929813,21.528114039297716,0.08924226049830916,0.005971015932279162,576,
40011,mean_reversion,random,-0.08557097339687311,-0.06092146167795435,0.070888374819251,2.5890646112324824,27.585825628734625,0.7560784553011056,0.22084297924838772,576,
40011,mean_reversion,hybrid_quality,-0.08714314428621885,-0.05734623543873518,0.05969615278015398,2.2672697003865316,21.56439091823996,0.5121508674330805,0.1838595275456103,576,
40011,mean_reversion,hybrid_diverse,-0.07814732653506459,-0.04936969633411548,0.061577522794209964,2.3599331211142087,23.654593333883632,0.8043927618181415,0.2061095872061908,576,0.0011840496721749194
