signalname,in_sample,post_sample,post_pub
MomOffSeason11YrPlus,0.17540003840084434,0.17371190491410904,0.043224415201039736
MomOffSeason16YrPlus,0.34956825408201264,0.3397522910310669,0.22082803185815117
MomRev,1.174099260804911,1.3045270911896494,0.07336397225566625
MomSeason,0.8125412991394375,0.7060254447075978,-0.06357680263619597
MomSeason06YrPlus,0.7463792467631403,0.3967924724983162,0.079715769569641
MomSeason11YrPlus,0.7490963309555085,0.5283378115100734,0.1611407314089829
MomSeason16YrPlus,0.5855347847426619,0.5743261373745158,0.45720422243607334
MomSeasonShort,1.3607244373766851,-0.3694260540165161,0.12004061941000742
MomVol,1.593673507127506,4.13035373388048,1.1403157450452333
NOA,1.0838061346863117,1.5702722375641471,0.01799705389406672
NetDebtFinance,0.7185302878634665,1.01983142033165,0.36343320162586495
NetDebtPrice,0.5467213411727078,0.5237245467887548,0.09617751198467792
NetEquityFinance,0.7116735997307342,0.6597682654328455,1.0197717461498654
NetPayoutYield,0.8833968202277976,0.7268118218720541,1.49354706742342
NumEarnIncrease,0.4997069588940965,0.38238402750586986,0.310308049105735
OPLeverage,0.3516415398311557,2.0248819923110415,-0.029287105957336256
OScore,0.9878486750353846,1.3416484284772539,1.1061040984573869
OperProf,0.7254259093311245,0.8278913474794071,0.45427415373250185
OperProfRD,0.3231087467644222,1.1501796655105443,0.9756887727587079
OptionVolume1,0.752514803892527,0.6887182704990388,0.09656888165439342
OptionVolume2,0.5741053753641188,0.3142977252078977,-0.1905061535287833
OrderBacklog,0.49631785922468136,-0.06174134784431353,-0.29681739229171006
OrderBacklogChg,0.3623828682876827,0.2185871633392437,0.6592545159729051
OrgCap,0.40909254739290396,-0.039097826242912574,0.18454776479814589
PS,1.0480293709852773,0.8021869280335655,0.5949707941048267
PatentsRD,0.4556732439454061,-3.277597268655198,-5.224885000648185
PayoutYield,0.4326195010725782,0.28438856940025575,0.20123207523050776
PctAcc,0.45479014274863616,0.6564977285165958,0.11979380274932488
PctTotAcc,0.49579007185719315,-0.2164628837062578,0.38814211127382864
PredictedFE,0.41227634268849384,0.1395566172003748,-0.03658000915435493
Price,1.430288612861401,-1.6077660233258022,0.3285472199342003
PriceDelayRsq,0.4916899442867479,1.5479327390459072,-0.2528296676408409
PriceDelaySlope,0.1609241048209786,0.555035624435221,-0.11071797000395213
PriceDelayTstat,0.16230680907209602,0.5703103497426459,-0.10632609356408244
ProbInformedTrading,1.6614716542224288,1.2751615082083732,0.36702285180790317
RD,1.0123473132883358,2.5176682751487487,0.22383088884512206
RDAbility,0.30779944972830603,0.019821947964283774,0.21259483088226414
RDIPO,0.9018794976383524,0.43987026771189347,0.6988447543508298
RDS,0.4884360963662061,-0.0040022142141693485,-0.103338828504811
RDcap,0.4307621132596785,0.5508562167916169,-0.1925440501538113
REV6,1.132681550485282,1.3305200241150748,0.546449301525322
RIO_Disp,0.6087758220955518,-0.6344502446865611,0.3897121745907817
RIO_MB,0.8829100823166649,-0.6783626926745635,0.08089151690279792
RIO_Turnover,0.6414246981249377,-0.34211593249511113,0.43082427761225917
RIO_Volatility,0.9965503331304488,-0.04757529479089986,0.9247045291785071
RIVolSpread,1.045060952109228,0.38646868585777455,0.15765646838479996
RealizedVol,0.8485354046463082,0.5090497969360007,0.05022266205110579
Recomm_ShortInterest,0.8173478064157346,0.5495092328601606,0.4469477388492103
ResidualMomentum,0.9503154714338249,0.5163705348130133,0.3261864293680202
ReturnSkew,0.40910164654499487,0.17394031654166373,0.2784600917022319
ReturnSkew3F,0.2858722248119361,-0.12740152216416614,0.21315110741996315
