signalname,pre_corr,post_corr,pre_n,post_n,change
NetDebtFinance,0.4850528138939084,0.2750271419766631,120,120,-0.2100256719172453
NetDebtPrice,-0.5644634313527839,0.4229802321835005,120,120,0.9874436635362844
NetEquityFinance,0.66671788718782,0.44658355083866047,120,120,-0.22013433634915952
NetPayoutYield,0.7337544656353567,0.3845696630916057,120,120,-0.34918480254375106
NumEarnIncrease,0.3316186616525835,0.6330595091525505,120,120,0.30144084749996697
OPLeverage,-0.369802446534277,-0.09766941777547046,120,120,0.27213302875880657
OScore,0.1905595339855514,0.2317165028809926,120,120,0.04115696889544121
OperProf,0.608561926911536,0.27449342878930055,120,120,-0.33406849812223544
OperProfRD,0.591457919662959,0.17398715469961396,120,96,-0.41747076496334506
OptionVolume1,0.038404944649182086,0.2531957046074004,120,120,0.21479075995821828
OptionVolume2,-0.2665953929425015,-0.3055048396885139,120,120,-0.03890944674601238
OrderBacklog,-0.31843103529891087,-0.04217377491065804,120,120,0.2762572603882528
OrderBacklogChg,-0.18379438109944002,0.021904989683932258,120,120,0.20569937078337228
OrgCap,0.2889255837316429,-0.29821274857044,120,120,-0.5871383323020829
PS,0.10406552229471029,0.328361277317782,120,120,0.2242957550230717
PayoutYield,0.3622780278608469,-0.2044081057578985,120,120,-0.5666861336187454
PctAcc,-0.016293783702246493,0.11093289441506653,120,120,0.12722667811731303
PctTotAcc,0.37681584964136994,0.35291785563714356,120,120,-0.023897994004226375
PredictedFE,0.4210429715044666,0.637473730142104,120,120,0.21643075863763733
PriceDelayRsq,0.6681361946635354,0.3530535878943034,120,120,-0.31508260676923194
PriceDelaySlope,0.3383356309343737,0.3565851148814028,120,120,0.018249483947029133
PriceDelayTstat,0.34797436392261916,0.35263715720131406,120,120,0.004662793278694899
ProbInformedTrading,0.41113112138235347,0.4875583101083307,107,120,0.0764271887259772
RD,-0.40159688832769547,-0.3696913501772218,120,120,0.031905538150473645
RDAbility,0.10380428631906914,0.11650060814592793,120,120,0.012696321826858786
RDIPO,-0.07872834343112968,0.04195186562686919,120,120,0.12068020905799887
RDS,0.06072676250088567,-0.0672542928211539,120,120,-0.12798105532203957
RDcap,-0.4805203030522182,-0.29311327069244053,120,120,0.18740703235977768
REV6,-0.3301304768907977,-0.07957722001869967,120,120,0.25055325687209806
RIO_Disp,0.5286679392396426,0.014929811336011916,120,120,-0.5137381279036307
RIO_MB,-0.024871034680370135,-0.18142380791908658,120,120,-0.15655277323871644
RIO_Turnover,0.5179790441591792,0.2408323574907185,120,120,-0.27714668666846065
RIO_Volatility,0.5508712847347509,-0.0023546881512539093,120,120,-0.5532259728860048
RIVolSpread,0.3471036852659292,-0.08687564721389246,120,120,-0.4339793324798217
RealizedVol,0.7056328196444949,0.7269556816853964,120,120,0.021322862040901502
Recomm_ShortInterest,0.20598378225210776,0.4827877323757002,120,120,0.2768039501235925
ResidualMomentum,0.7269833486667335,0.46307924487631535,120,120,-0.2639041037904182
ReturnSkew,0.3379738482652789,0.30673445217689405,120,108,-0.03123939608838483
ReturnSkew3F,0.276940019523755,0.11610689206048144,120,108,-0.16083312746327358
RevenueSurprise,0.2686943540949904,0.41310776872904703,120,120,0.14441341463405666
RoE,-0.441725767132914,-0.1853566978505027,120,120,0.2563690692824113
SP,0.6333312893392035,0.240026469280727,120,120,-0.39330482005847645
STreversal,0.3200483784278141,0.36299474355408634,120,120,0.04294636512627226
ShareIss1Y,0.7884020689913472,0.5494064948028144,120,120,-0.2389955741885328
ShareIss5Y,0.6365960173124082,0.4205216615695669,120,120,-0.21607435574284134
ShareRepurchase,-0.6389073652159225,-0.33989586221550483,120,120,0.2990115030004177
ShareVol,0.2640241197091909,0.34923406825274034,120,120,0.08520994854354946
ShortInterest,0.44744865146603796,0.37874124636728074,120,120,-0.06870740509875722
Size,0.779608518631293,0.7427574713160419,120,120,-0.03685104731525113
SmileSlope,-0.0003641827691674771,0.2509517127112851,120,120,0.2513158954804526
Spinoff,0.1850336506386565,-0.007853474532582757,120,120,-0.19288712517123927
SurpriseRD,-0.5877226030696888,0.1105177636635722,120,120,0.6982403667332611
Tax,0.32468915764978173,0.02372185120683565,120,120,-0.30096730644294606
TotalAccruals,-0.2656887232824437,-0.1740022205053376,120,120,0.0916865027771061
